"`id`","`login`","`name`","`type`","`company`","`fake`","`deleted`"
"7293978","dxmakers","Microsoft DX US Team","ORG",,"0","0"
"7469368","GDG-Managua","Google Developer Group Managua","ORG",,"0","0"
"7475793","SavingGoogleCode","Saving Google Code","ORG",,"0","0"
"7533573","Appletec","Appletec","ORG",,"0","0"
"7685427","developerexperience","Microsoft Developer Experience UK","ORG",,"0","1"
"7788986","goodapples","Good Apples","ORG",,"0","0"
"7960581","MicrosoftEdge","Microsoft Edge","ORG",,"0","0"
"7993621","MicrosoftGeekHub","Microsoft Geek Hub","ORG",,"0","0"
"7998389","app-engine-developers","Python Google app engine developers","ORG",,"0","0"
"8016209","microsoft-mobile","Microsoft Mobile","ORG",,"0","0"
"8027162","GoogleAppsScript","Google Apps Script","ORG",,"0","0"
"8092164","pagapps","PA Google Apps","ORG",,"0","1"
"8205579","DXFrance","Microsoft DX France","ORG",,"0","0"
"8273066","gdgjf","Google Developers Group Juiz de Fora","ORG",,"0","0"
"8712618","MSRCCS","Microsoft Research: Cloud Computing and Storage","ORG",,"0","0"
"8718125","googlecodelabs","Google Codelabs","ORG",,"0","0"
"8768824","applest","Applest","ORG",,"0","0"
"8777149","apple-ninja","Apple Ninja","ORG",,"0","0"
"8818457","CatalystDefCon","Hack with Microsoft @ DefCon","ORG",,"0","0"
"9009934","freegoogleapis","freegoogleapis","ORG",,"0","0"
"9043638","gcode-mirror","Exported from Google Code.","ORG",,"0","0"
"9044857","google-uk","Google England & Ireland","ORG",,"0","1"
"9054756","gdg-minsk","Google Developers Minsk","ORG",,"0","0"
"9154793","googlearchive","Google Archive","ORG",,"0","0"
"9230217","go-googleads","Go Google Ads","ORG",,"0","0"
"9284350","planapple","Planapple","ORG",,"0","0"
"9433542","gdgbaltimore","Baltimore Google Developer Group","ORG",,"0","0"
"9491082","MSTCAlex","Microsoft Tech Club Alexandria University","ORG",,"0","0"
"9535389","DataCatalog","Microsoft Azure Data Catalog samples","ORG",,"0","0"
"9634265","k-mug","Kerala Microsoft Users Group","ORG",,"0","0"
"9683324","cs3307a-apple","Team Apple","ORG",,"0","0"
"9799973","applergroup","appler","ORG",,"0","0"
"10012321","projectbuendia-google","Project Buendia (Google private repositories)","ORG",,"0","0"
"10016188","multiplaygo","Multiplay (Google Go Repos)","ORG",,"0","0"
"10139044","gc2gh","Google Code to Github","ORG",,"0","0"
"10176076","MicrosoftHackers","Microsoft Hackers","ORG",,"0","0"
"10177802","GDGSodaCity","Google Developer Group Columbia SC","ORG",,"0","0"
"10206136","MSRDL","Microsoft Research - Deep Learning Team","ORG",,"0","0"
"10278064","MicrosoftBigData","Microsoft Big Data","ORG",,"0","0"
"10412691","msr-quarc","Microsoft Research Quantum Architecture and Computation","ORG",,"0","0"
"10433998","GDGOran","Google Developer Group Oran","ORG",,"0","0"
